月份,住宅建设投资额_累计值,住宅建设投资额_累计增长,住宅施工面积_累计值,住宅施工面积_累计增长,住宅竣工面积_累计值,住宅竣工面积_累计增长,地区
201705,538.2906,5.2,11850.3031,-5.4,286.4128,-38.0,贵州省
201706,728.4809,7.4,12023.9536,-6.0,321.3356,-45.9,贵州省
201707,837.1864,7.0,12243.4396,-6.3,398.6093,-52.0,贵州省
201708,915.9525,3.7,12387.9634,-5.9,474.4846,-46.8,贵州省
201709,1040.5953,4.7,12727.4664,-5.9,599.8841,-35.7,贵州省
201710,1168.3016,6.5,13006.7871,-5.9,674.5892,-33.9,贵州省
201711,1355.583,9.1,13593.4466,-2.8,787.9719,-31.5,贵州省
201712,1478.4884,9.6,13692.4745,-4.5,1083.0324,-28.7,贵州省
201801,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201802,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201803,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201804,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201805,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201806,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201807,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201808,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201809,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201810,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201811,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
201812,0.0,0.0,0.0,0.0,0.0,0.0,贵州省
200801,0.0,0.0,0.0,0.0,0.0,0.0,云南省
200802,44.7151,38.9,2122.63,39.3,68.04,-49.9,云南省
200803,83.209,66.1,2746.6525,42.1,169.8913,-8.1,云南省
200804,114.5859,67.0,3158.0566,38.1,266.2643,19.5,云南省
200805,153.8278,62.9,3526.604,39.0,308.9699,18.1,云南省
200806,200.253,59.7,3881.3647,36.4,415.5841,20.9,云南省
200807,248.7809,55.7,4247.03,37.5,485.6059,17.3,云南省
200808,292.7385,51.0,4475.8375,39.2,633.5602,30.8,云南省
200809,343.6454,49.3,4812.7652,41.8,746.0629,36.7,云南省
200810,388.9107,43.5,5180.6842,36.2,871.9258,37.5,云南省
200811,446.3234,43.6,5515.4145,37.3,1005.2477,37.1,云南省
200812,519.8331,25.5,6382.7126,30.2,2087.0391,29.6,云南省
200901,0.0,0.0,0.0,0.0,0.0,0.0,云南省
200902,55.51,24.1,2281.47,7.5,140.33,106.2,云南省
200903,95.2668,14.5,3260.8839,18.7,317.9457,87.1,云南省
200904,155.4113,35.6,3810.3645,20.7,411.4583,54.5,云南省
200905,199.6251,29.8,4361.5669,23.7,503.3025,62.9,云南省
200906,277.4224,38.5,4907.9218,26.4,581.6523,40.0,云南省
200907,340.1546,36.7,5066.951,19.3,702.3946,44.6,云南省
200908,388.439,32.7,5678.1199,26.9,965.4401,52.4,云南省
200909,472.4298,37.5,6351.6872,32.0,1150.9378,54.3,云南省
200910,535.6973,37.7,6605.7802,27.5,1298.3378,48.9,云南省
200911,597.423,33.9,6823.7137,23.7,1436.0705,42.9,云南省
200912,685.5176,31.6,7529.9434,17.5,2157.5981,0.1,云南省
201001,0.0,0.0,0.0,0.0,0.0,0.0,云南省
201002,65.6839,18.3,3477.6818,41.4,209.1855,49.1,云南省
201003,108.1851,13.6,4678.3943,43.5,344.5352,8.4,云南省
